program runtime size blocksize iteration threads gflops model strat visits_per_task steals_per_task foo
dpotrf_taskdep simulation 8192 256 1 50 591.629 IdchireAffinityAVG Affinity 448.436 3.02523 0
dpotrf_taskdep simulation 8192 256 1 47 531.873 IdchireAffinityAVG Affinity 548.024 3.4995 0
dpotrf_taskdep simulation 8192 256 1 143 1175.94 IdchireAffinityAVG RandLoc 3682.15 26.0642 0
dpotrf_taskdep simulation 8192 256 1 56 659.583 IdchireAffinityAVG Affinity 519.373 3.36648 0
dpotrf_taskdep simulation 8192 256 1 51 579.787 IdchireAffinityAVG Affinity 574.401 3.5991 0
dpotrf_taskdep simulation 8192 256 1 52 581.187 IdchireAffinityAVG Affinity 601.751 3.73947 0
dpotrf_taskdep simulation 8192 256 1 49 543.731 IdchireAffinityAVG Affinity 653.36 3.93917 0
dpotrf_taskdep simulation 8192 256 1 53 574.31 IdchireAffinityAVG Affinity 618.016 3.81467 0
dpotrf_taskdep simulation 8192 256 1 145 1171.36 IdchireAffinityAVG RandLoc 3792.67 26.4769 0
dpotrf_taskdep simulation 8192 256 1 54 607.519 IdchireAffinityAVG Affinity 687.251 4.13202 0
dpotrf_taskdep simulation 8192 256 1 144 1165.56 IdchireAffinityAVG RandLoc 3845.27 27.0157 0
dpotrf_taskdep simulation 8192 256 1 146 1146.96 IdchireAffinityAVG RandLoc 3920.03 27.1649 0
dpotrf_taskdep simulation 8192 256 1 148 1199.29 IdchireAffinityAVG RandLoc 4199.05 28.6825 0
dpotrf_taskdep simulation 8192 256 1 147 1160.67 IdchireAffinityAVG RandLoc 4038.18 27.7829 0
dpotrf_taskdep simulation 8192 256 1 59 643.18 IdchireAffinityAVG Affinity 724.066 4.30414 0
dpotrf_taskdep simulation 8192 256 1 55 584.617 IdchireAffinityAVG Affinity 809.782 4.68733 0
dpotrf_taskdep simulation 8192 256 1 58 609.306 IdchireAffinityAVG Affinity 793.201 4.62333 0
dpotrf_taskdep simulation 8192 256 1 57 587.377 IdchireAffinityAVG Affinity 800.742 4.65508 0
dpotrf_taskdep simulation 8192 256 1 60 629.989 IdchireAffinityAVG Affinity 795.762 4.63219 0
dpotrf_taskdep simulation 8192 256 1 149 1199.73 IdchireAffinityAVG RandLoc 4272.43 28.9793 0
dpotrf_taskdep simulation 8192 256 1 62 670.272 IdchireAffinityAVG Affinity 821.854 4.72477 0
dpotrf_taskdep simulation 8192 256 1 151 1194.94 IdchireAffinityAVG RandLoc 4336.32 29.0227 0
dpotrf_taskdep simulation 8192 256 1 150 1199.72 IdchireAffinityAVG RandLoc 4234.8 28.5471 0
dpotrf_taskdep simulation 8192 256 1 61 636.561 IdchireAffinityAVG Affinity 897.513 5.09893 0
dpotrf_taskdep simulation 8192 256 1 63 688.939 IdchireAffinityAVG Affinity 949.155 5.24014 0
dpotrf_taskdep simulation 8192 256 1 64 697.912 IdchireAffinityAVG Affinity 965.241 5.32437 0
dpotrf_taskdep simulation 8192 256 1 152 1218.1 IdchireAffinityAVG RandLoc 4500.57 29.9181 0
dpotrf_taskdep simulation 8192 256 1 153 1227.08 IdchireAffinityAVG RandLoc 4527.59 29.9019 0
dpotrf_taskdep simulation 8192 256 1 65 744.603 IdchireAffinityAVG Affinity 969.544 5.33606 0
dpotrf_taskdep simulation 8192 256 1 68 770.702 IdchireAffinityAVG Affinity 908.37 5.12416 0
dpotrf_taskdep simulation 8192 256 1 154 1219.45 IdchireAffinityAVG RandLoc 4772.35 31.2891 0
dpotrf_taskdep simulation 8192 256 1 155 1228.1 IdchireAffinityAVG RandLoc 4700.59 30.6319 0
dpotrf_taskdep simulation 8192 256 1 72 804.463 IdchireAffinityAVG Affinity 965.71 5.40742 0
dpotrf_taskdep simulation 8192 256 1 70 704.402 IdchireAffinityAVG Affinity 1047.59 5.7886 0
dpotrf_taskdep simulation 8192 256 1 156 1219.82 IdchireAffinityAVG RandLoc 4934.89 31.9327 0
dpotrf_taskdep simulation 8192 256 1 69 767.132 IdchireAffinityAVG Affinity 1141.1 6.19268 0
dpotrf_taskdep simulation 8192 256 1 157 1230.88 IdchireAffinityAVG RandLoc 4996.04 32.1166 0
dpotrf_taskdep simulation 8192 256 1 71 712.963 IdchireAffinityAVG Affinity 1090.54 5.99649 0
dpotrf_taskdep simulation 8192 256 1 158 1224.72 IdchireAffinityAVG RandLoc 5072.85 32.3997 0
dpotrf_taskdep simulation 8192 256 1 66 729.505 IdchireAffinityAVG Affinity 1361.07 7.02791 0
dpotrf_taskdep simulation 8192 256 1 159 1241.77 IdchireAffinityAVG RandLoc 5097.97 32.3636 0
dpotrf_taskdep simulation 8192 256 1 74 786.022 IdchireAffinityAVG Affinity 1126.31 6.15959 0
dpotrf_taskdep simulation 8192 256 1 67 706.28 IdchireAffinityAVG Affinity 1400.07 7.34676 0
dpotrf_taskdep simulation 8192 256 1 73 738.637 IdchireAffinityAVG Affinity 1191.23 6.45939 0
dpotrf_taskdep simulation 8192 256 1 75 804.775 IdchireAffinityAVG Affinity 1149.8 6.26153 0
dpotrf_taskdep simulation 8192 256 1 160 1246.56 IdchireAffinityAVG RandLoc 5479.42 34.5366 0
dpotrf_taskdep simulation 8192 256 1 162 1261 IdchireAffinityAVG RandLoc 5507.34 34.2869 0
dpotrf_taskdep simulation 8192 256 1 161 1242.72 IdchireAffinityAVG RandLoc 5593.24 35.0241 0
dpotrf_taskdep simulation 8192 256 1 78 790.839 IdchireAffinityAVG Affinity 1272.18 6.82286 0
dpotrf_taskdep simulation 8192 256 1 164 1262.08 IdchireAffinityAVG RandLoc 5700.18 35.0391 0
dpotrf_taskdep simulation 8192 256 1 76 784.065 IdchireAffinityAVG Affinity 1347.79 7.17848 0
