threads  kid  date(rdtsc)     duration  task_id
192       11    606230516      3811840  dgemm
192       13    606147320      3937732  dgemm
192        8    606728592      3473448  dgemm
192       12    607935420      2387424  dgemm
192        3    606978330      3750824  dgemm
192        2    606997762      3782852  dgemm
192       15    607404796      3834008  dgemm
192        9    608404416      3607316  dgemm
192        6    608812190      3435868  dgemm
192        1    609403670      3778044  dgemm
192       14    609250384      3936308  dgemm
192        4    609695966      3944036  dgemm
192       11    610057628      3820172  dgemm
192        8    610220084      3796256  dgemm
192       13    610101844      3970444  dgemm
192        3    610746162      3758388  dgemm
192        2    610791806      3856368  dgemm
192       15    611257108      3830652  dgemm
192        9    612029472      3551956  dgemm
192       10    612442008      3617420  dgemm
192        7    613492786      3501104  dgemm
192        5    613127646      3947636  dgemm
192       14    613197952      4415256  dgemm
192        4    613652146      3995744  dgemm
192        8    614026468      3700364  dgemm
192        1    613194394      4589096  dgemm
192       11    613912860      4032824  dgemm
192       13    614087456      3987416  dgemm
192        3    614513770      3707880  dgemm
192        2    614657742      3902540  dgemm
192       15    615104584      3660220  dgemm
192       12    615426164      3711880  dgemm
192        9    615592616      3775132  dgemm
192       10    616073404      3790604  dgemm
192        7    617008446      3474108  dgemm
192        6    616845278      3647596  dgemm
