#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 16384 288 10 64 810.555433 1514572020098095878 1514572021896593932 4.215105
#Experience summarry : avg : 810.555433 :: std : 4.215105 :: min : 800.883215 :: max : 815.207801 :: median : 812.425707

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 16384 304 10 64 821.828105 1514572097848537315 1514572099634196499 6.178432
#Experience summarry : avg : 821.828105 :: std : 6.178432 :: min : 810.970214 :: max : 832.796392 :: median : 822.892327

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 16384 320 10 64 854.193243 1514572175009060055 1514572176716247431 4.042144
#Experience summarry : avg : 854.193243 :: std : 4.042144 :: min : 846.898422 :: max : 860.165092 :: median : 854.688008

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 16384 336 10 64 816.344450 1514572252895807656 1514572254679487981 5.457581
#Experience summarry : avg : 816.344450 :: std : 5.457581 :: min : 806.802917 :: max : 823.292461 :: median : 818.401797

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 16384 352 10 64 826.753024 1514572330639781462 1514572332429657404 6.890151
#Experience summarry : avg : 826.753024 :: std : 6.890151 :: min : 810.911397 :: max : 835.342081 :: median : 828.395897

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 16384 400 10 64 808.514499 1514572408689674039 1514572410526804121 7.027857
#Experience summarry : avg : 808.514499 :: std : 7.027857 :: min : 797.524385 :: max : 815.152041 :: median : 811.974841

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 16384 88 10 64 70.271377 1514572679918062048 1514572700876468719 0.742829
#Experience summarry : avg : 70.271377 :: std : 0.742829 :: min : 69.881100 :: max : 72.421707 :: median : 69.997180

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 16384 104 10 64 94.729423 1514572915564856800 1514572931000004963 0.187909
#Experience summarry : avg : 94.729423 :: std : 0.187909 :: min : 94.328157 :: max : 94.987728 :: median : 94.767808

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 16384 112 10 64 117.516258 1514573117643976700 1514573130155448931 0.787583
#Experience summarry : avg : 117.516258 :: std : 0.787583 :: min : 116.549158 :: max : 119.475903 :: median : 117.196562

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 16384 120 10 64 170.190938 1514573274887399444 1514573283400849138 1.714035
#Experience summarry : avg : 170.190938 :: std : 1.714035 :: min : 168.113803 :: max : 173.288532 :: median : 169.607160

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 16384 136 10 64 283.680941 1514573393912823909 1514573399020936921 5.937469
#Experience summarry : avg : 283.680941 :: std : 5.937469 :: min : 274.862787 :: max : 296.164329 :: median : 284.198061

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 16384 448 10 64 792.523265 1514573475730369364 1514573477575229931 7.532060
#Experience summarry : avg : 792.523265 :: std : 7.532060 :: min : 781.741748 :: max : 805.994388 :: median : 794.721882

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 144 10 64 540.015999 1514632640025490191 1514632640365592983 3.572737
#Experience summarry : avg : 540.015999 :: std : 3.572737 :: min : 533.487587 :: max : 544.427913 :: median : 540.972992

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 160 10 64 575.952086 1514632696665961977 1514632696983330053 7.379947
#Experience summarry : avg : 575.952086 :: std : 7.379947 :: min : 564.579027 :: max : 589.960930 :: median : 577.515456

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 176 10 64 589.020049 1514632753146511614 1514632753456266927 6.269488
#Experience summarry : avg : 589.020049 :: std : 6.269488 :: min : 579.661412 :: max : 597.455134 :: median : 591.711005

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 192 10 64 587.232355 1514632809688792765 1514632810005510069 7.456982
#Experience summarry : avg : 587.232355 :: std : 7.456982 :: min : 573.326442 :: max : 599.086106 :: median : 588.069988

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 512 10 64 355.591853 1514632868143965946 1514632868668557909 3.870810
#Experience summarry : avg : 355.591853 :: std : 3.870810 :: min : 349.386642 :: max : 363.376212 :: median : 354.933991

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 144 10 128 322.733408 1514633001102396785 1514633001665833951 16.612036
#Experience summarry : avg : 322.733408 :: std : 16.612036 :: min : 290.595423 :: max : 349.325519 :: median : 325.299561

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 160 10 128 647.536387 1514633058026655887 1514633058320338149 11.605045
#Experience summarry : avg : 647.536387 :: std : 11.605045 :: min : 624.094879 :: max : 664.152404 :: median : 648.626254

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 176 10 128 658.984841 1514633114490114930 1514633114774156884 13.578289
#Experience summarry : avg : 658.984841 :: std : 13.578289 :: min : 640.412560 :: max : 678.898156 :: median : 661.308345

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 192 10 128 667.337797 1514633170903106681 1514633171169759552 12.670914
#Experience summarry : avg : 667.337797 :: std : 12.670914 :: min : 645.526086 :: max : 687.358130 :: median : 672.018077

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 512 10 128 357.949525 1514633229544626086 1514633230053970964 4.811710
#Experience summarry : avg : 357.949525 :: std : 4.811710 :: min : 348.082932 :: max : 365.289519 :: median : 359.845437

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 16384 144 10 64 589.245295 1514633408912337178 1514633411400411240 1.795332
#Experience summarry : avg : 589.245295 :: std : 1.795332 :: min : 586.487073 :: max : 593.168630 :: median : 589.271215

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 16384 160 10 64 677.226686 1514633491498049998 1514633493637305657 4.623753
#Experience summarry : avg : 677.226686 :: std : 4.623753 :: min : 668.910588 :: max : 685.355272 :: median : 677.443186

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 16384 176 10 64 683.514678 1514633573324541995 1514633575476823291 3.475793
#Experience summarry : avg : 683.514678 :: std : 3.475793 :: min : 675.126369 :: max : 687.465319 :: median : 684.905751

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 16384 192 10 64 760.020907 1514633653068627258 1514633654969526694 5.431974
#Experience summarry : avg : 760.020907 :: std : 5.431974 :: min : 752.091500 :: max : 771.292446 :: median : 760.728814

