Exp total_cores kernel thread size time-ms
bandwidth_200000000_10_1 2 copy 0  200000000 207.097
bandwidth_200000000_10_1 2 copy 0  200000000 206.798
bandwidth_200000000_10_1 2 copy 0  200000000 207.419
bandwidth_200000000_10_1 2 copy 0  200000000 208.046
bandwidth_200000000_10_1 2 copy 0  200000000 207.407
bandwidth_200000000_10_1 2 copy 0  200000000 206.643
bandwidth_200000000_10_1 2 copy 0  200000000 207.05
bandwidth_200000000_10_1 2 copy 0  200000000 207.562
Exp total_cores kernel thread size time-ms
bandwidth_200000000_10_2 3 copy 0  200000000 213.605
bandwidth_200000000_10_2 3 copy 0  200000000 213.321
bandwidth_200000000_10_2 3 copy 0  200000000 213.27
bandwidth_200000000_10_2 3 copy 0  200000000 213.244
bandwidth_200000000_10_2 3 copy 0  200000000 213.53
bandwidth_200000000_10_2 3 copy 0  200000000 214.355
bandwidth_200000000_10_2 3 copy 0  200000000 212.774
bandwidth_200000000_10_2 3 copy 0  200000000 213.306
bandwidth_200000000_10_2 3 copy 0  200000000 214.119
bandwidth_200000000_10_2 3 copy 0  200000000 212.97
bandwidth_200000000_10_2 3 copy 1  200000000 214.592
bandwidth_200000000_10_2 3 copy 1  200000000 214.44
bandwidth_200000000_10_2 3 copy 1  200000000 213.791
bandwidth_200000000_10_2 3 copy 1  200000000 214.153
bandwidth_200000000_10_2 3 copy 1  200000000 214.45
bandwidth_200000000_10_2 3 copy 1  200000000 214.782
bandwidth_200000000_10_2 3 copy 1  200000000 213.716
bandwidth_200000000_10_2 3 copy 1  200000000 214.092
bandwidth_200000000_10_2 3 copy 1  200000000 214.093
bandwidth_200000000_10_2 3 copy 1  200000000 213.535
Exp total_cores kernel thread size time-ms
bandwidth_200000000_10_3 4 copy 0  200000000 221.752
bandwidth_200000000_10_3 4 copy 0  200000000 222.445
bandwidth_200000000_10_3 4 copy 0  200000000 221.942
bandwidth_200000000_10_3 4 copy 0  200000000 221.339
bandwidth_200000000_10_3 4 copy 0  200000000 214.272
bandwidth_200000000_10_3 4 copy 0  200000000 213.194
bandwidth_200000000_10_3 4 copy 0  200000000 214.1
bandwidth_200000000_10_3 4 copy 0  200000000 214.771
bandwidth_200000000_10_3 4 copy 0  200000000 214.398
bandwidth_200000000_10_3 4 copy 0  200000000 220.999
bandwidth_200000000_10_3 4 copy 1  200000000 222.796
bandwidth_200000000_10_3 4 copy 1  200000000 222.175
bandwidth_200000000_10_3 4 copy 1  200000000 222.283
bandwidth_200000000_10_3 4 copy 1  200000000 221.932
bandwidth_200000000_10_3 4 copy 1  200000000 214.872
bandwidth_200000000_10_3 4 copy 1  200000000 214.025
bandwidth_200000000_10_3 4 copy 1  200000000 213.511
bandwidth_200000000_10_3 4 copy 1  200000000 215.719
bandwidth_200000000_10_3 4 copy 1  200000000 214.739
bandwidth_200000000_10_3 4 copy 1  200000000 221.144
bandwidth_200000000_10_3 4 copy 2  200000000 223.008
bandwidth_200000000_10_3 4 copy 2  200000000 223.107
bandwidth_200000000_10_3 4 copy 2  200000000 222.708
bandwidth_200000000_10_3 4 copy 2  200000000 221.999
bandwidth_200000000_10_3 4 copy 2  200000000 214.083
bandwidth_200000000_10_3 4 copy 2  200000000 214.038
bandwidth_200000000_10_3 4 copy 2  200000000 214.066
bandwidth_200000000_10_3 4 copy 2  200000000 215.904
bandwidth_200000000_10_3 4 copy 2  200000000 213.667
bandwidth_200000000_10_3 4 copy 2  200000000 220.849
Exp total_cores kernel thread size time-ms
bandwidth_200000000_10_4 5 copy 0  200000000 241.53
bandwidth_200000000_10_4 5 copy 0  200000000 241.68
bandwidth_200000000_10_4 5 copy 0  200000000 241.91
bandwidth_200000000_10_4 5 copy 0  200000000 241.377
bandwidth_200000000_10_4 5 copy 0  200000000 240.88
bandwidth_200000000_10_4 5 copy 0  200000000 241.245
bandwidth_200000000_10_4 5 copy 0  200000000 241.346
bandwidth_200000000_10_4 5 copy 0  200000000 240.744
bandwidth_200000000_10_4 5 copy 0  200000000 240.397
bandwidth_200000000_10_4 5 copy 0  200000000 241.04
bandwidth_200000000_10_4 5 copy 1  200000000 242.099
bandwidth_200000000_10_4 5 copy 1  200000000 241.31
bandwidth_200000000_10_4 5 copy 1  200000000 242.317
bandwidth_200000000_10_4 5 copy 1  200000000 241.299
bandwidth_200000000_10_4 5 copy 1  200000000 241.749
bandwidth_200000000_10_4 5 copy 1  200000000 241.349
bandwidth_200000000_10_4 5 copy 1  200000000 242.008
bandwidth_200000000_10_4 5 copy 1  200000000 242.289
bandwidth_200000000_10_4 5 copy 1  200000000 241.119
bandwidth_200000000_10_4 5 copy 1  200000000 241.172
bandwidth_200000000_10_4 5 copy 2  200000000 241.53
bandwidth_200000000_10_4 5 copy 2  200000000 242.003
bandwidth_200000000_10_4 5 copy 2  200000000 241.524
bandwidth_200000000_10_4 5 copy 2  200000000 241.188
bandwidth_200000000_10_4 5 copy 2  200000000 242.2
bandwidth_200000000_10_4 5 copy 2  200000000 241.831
bandwidth_200000000_10_4 5 copy 2  200000000 242.388
bandwidth_200000000_10_4 5 copy 2  200000000 241.136
bandwidth_200000000_10_4 5 copy 2  200000000 241.897
bandwidth_200000000_10_4 5 copy 2  200000000 242.044
bandwidth_200000000_10_4 5 copy 3  200000000 243.045
bandwidth_200000000_10_4 5 copy 3  200000000 242.696
bandwidth_200000000_10_4 5 copy 3  200000000 242.637
bandwidth_200000000_10_4 5 copy 3  200000000 242.388
bandwidth_200000000_10_4 5 copy 3  200000000 241.914
bandwidth_200000000_10_4 5 copy 3  200000000 242.574
bandwidth_200000000_10_4 5 copy 3  200000000 243.174
bandwidth_200000000_10_4 5 copy 3  200000000 241.935
bandwidth_200000000_10_4 5 copy 3  200000000 242.556
bandwidth_200000000_10_4 5 copy 3  200000000 240.891
Exp total_cores kernel thread size time-ms
bandwidth_200000000_10_5 6 copy 0  200000000 264.088
bandwidth_200000000_10_5 6 copy 0  200000000 264.156
bandwidth_200000000_10_5 6 copy 0  200000000 265.683
bandwidth_200000000_10_5 6 copy 0  200000000 264.351
bandwidth_200000000_10_5 6 copy 0  200000000 263.976
